3;Jihomoravsky;6207;Hustopece;17370;17790;35160
5;Kraj Vysocina;6113;Trebic;37016;38167;75183
5;Kraj Vysocina;6111;Svetla nad Sazavou;9969;9928;19897
12;Stredocesky;2112;Kutna Hora;23832;24602;48434
5;Kraj Vysocina;6104;Chotebor;11091;11209;22300
2;Jihocesky;3106;Kaplice;9342;9257;18599
8;Moravskoslezsky;8118;Orlova;22308;22880;45188
12;Stredocesky;2111;Kralupy nad Vltavou;14068;14644;28712
12;Stredocesky;2106;Cesky Brod;9268;9630;18898
2;Jihocesky;3108;Pisek;25150;26198;51348
9;Olomoucky;7109;Prerov;40299;42329;82628
12;Stredocesky;2126;Votice;6020;6227;12247
14;Zlinsky;7212;Vsetin;32978;34086;67064
12;Stredocesky;2102;Beroun;27341;28298;55639
3;Jihomoravsky;6202;Boskovice;25070;25825;50895
6;Kralovehradecky;5214;Trutnov;31553;32494;64047
10;Pardubicky;5307;Litomysl;12936;13424;26360
3;Jihomoravsky;6217;Tisnov;14406;14889;29295
12;Stredocesky;2121;Rakovnik;26407;27096;53503
2;Jihocesky;3113;Trhove Sviny;9227;9090;18317
8;Moravskoslezsky;8104;Cesky Tesin;12727;13321;26048
8;Moravskoslezsky;8112;Koprivnice;20475;21013;41488
6;Kralovehradecky;5206;Jaromer;9562;9650;19212
10;Pardubicky;5308;Moravska Trebova;13363;13497;26860
14;Zlinsky;7206;Roznov pod Radhostem;17376;18128;35504
1;Hlavni mesto Praha;1118;Praha 18;11224;11904;23128
2;Jihocesky;3104;Dacice;9853;9821;19674
2;Jihocesky;3101;Blatna;6703;6884;13587
12;Stredocesky;2119;Podebrady;14451;15254;29705
13;Ustecky;4215;Varnsdorf;9977;10317;20294
12;Stredocesky;2107;Dobris;10265;10484;20749
10;Pardubicky;5301;Ceska Trebova;9142;9392;18534
6;Kralovehradecky;5205;Hradec Kralove;68875;73529;142404
3;Jihomoravsky;6213;Pohorelice;6545;6579;13124
12;Stredocesky;2122;Ricany;27157;28533;55690
3;Jihomoravsky;6201;Blansko;26723;27775;54498
6;Kralovehradecky;5208;Kostelec nad Orlici;12130;12579;24709
2;Jihocesky;3110;Sobeslav;10848;11160;22008
11;Plzensky;3205;Klatovy;24420;25305;49725
13;Ustecky;4211;Roudnice nad Labem;15541;15987;31528
8;Moravskoslezsky;8115;Novy Jicin;23695;24834;48529
11;Plzensky;3209;Plzen;84594;91044;175638
9;Olomoucky;7101;Hranice;16924;17674;34598
7;Liberecky;5103;Jablonec nad Nisou;25980;27579;53559
1;Hlavni mesto Praha;1109;Praha 9;20816;23569;44385
11;Plzensky;3215;Tachov;17085;17190;34275
1;Hlavni mesto Praha;1108;Praha 8;49081;54407;103488
8;Moravskoslezsky;8114;Krnov;20775;21359;42134
14;Zlinsky;7202;Holesov;10565;10985;21550
5;Kraj Vysocina;6102;Havlickuv Brod;25270;26069;51339
7;Liberecky;5110;Zelezny Brod;5886;6135;12021
2;Jihocesky;3111;Strakonice;21929;22683;44612
8;Moravskoslezsky;8117;Opava;49726;52300;102026
14;Zlinsky;7205;Otrokovice;16968;17682;34650
10;Pardubicky;5315;Zamberk;14317;14344;28661
4;Karlovarsky;4105;Marianske Lazne;11634;12419;24053
9;Olomoucky;7107;Olomouc;77317;83134;160451
3;Jihomoravsky;6208;Ivancice;11631;11905;23536
11;Plzensky;3213;Stribro;8156;8301;16457
2;Jihocesky;3102;Ceske Budejovice;74098;78580;152678
4;Karlovarsky;4102;Cheb;23220;24275;47495
8;Moravskoslezsky;8122;Vitkov;6997;6941;13938
5;Kraj Vysocina;6101;Bystrice nad Pernstejnem;10178;10153;20331
9;Olomoucky;7112;Unicov;11232;11588;22820
2;Jihocesky;3112;Tabor;39154;40803;79957
9;Olomoucky;7113;Zabreh;16448;17239;33687
14;Zlinsky;7210;Valasske Mezirici;20679;21403;42082
6;Kralovehradecky;5210;Nova Paka;6545;6660;13205
10;Pardubicky;5304;Chrudim;40487;41640;82127
5;Kraj Vysocina;6106;Moravske Budejovice;11807;11879;23686
6;Kralovehradecky;5212;Novy Bydzov;8613;8805;17418
4;Karlovarsky;4107;Sokolov;38825;39462;78287
13;Ustecky;4204;Kadan;21568;21958;43526
8;Moravskoslezsky;8110;Jablunkov;11108;11428;22536
13;Ustecky;4213;Teplice;52174;54605;106779
1;Hlavni mesto Praha;1111;Praha 11;37362;40701;78063
11;Plzensky;3210;Prestice;10533;10769;21302
13;Ustecky;4208;Lovosice;13432;13597;27029
6;Kralovehradecky;5215;Vrchlabi;13570;13974;27544
4;Karlovarsky;4104;Kraslice;6932;6866;13798
